24-09-09 18:28:31.995 [main] INFO  c.i.H.ExpenseTracker.ExpenseTracker ----- Starting ExpenseTracker using Java 17.0.10 with PID 20876 (C:\Users\patil\IdeaProjects\ExpenseTrackerApp\target\classes started by patil in C:\Users\patil\IdeaProjects\ExpenseTrackerApp) 
24-09-09 18:28:32.006 [main] INFO  c.i.H.ExpenseTracker.ExpenseTracker ----- The following 1 profile is active: "develop" 
24-09-09 18:28:33.602 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Multiple Spring Data modules found, entering strict repository configuration mode 
24-09-09 18:28:33.606 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-09 18:28:33.919 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 304 ms. Found 3 MongoDB repository interfaces. 
24-09-09 18:28:33.954 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Multiple Spring Data modules found, entering strict repository configuration mode 
24-09-09 18:28:33.956 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
24-09-09 18:28:33.982 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.ConfigExpenseAppRepo; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:28:33.983 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.ExpenseRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:28:33.984 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:28:33.984 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces. 
