24-09-09 18:26:17.605 [main] INFO  c.i.H.ExpenseTracker.ExpenseTracker ----- Starting ExpenseTracker using Java 17.0.10 with PID 46676 (C:\Users\patil\IdeaProjects\ExpenseTrackerApp\target\classes started by patil in C:\Users\patil\IdeaProjects\ExpenseTrackerApp) 
24-09-09 18:26:17.615 [main] INFO  c.i.H.ExpenseTracker.ExpenseTracker ----- The following 1 profile is active: "develop" 
24-09-09 18:26:19.352 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Multiple Spring Data modules found, entering strict repository configuration mode 
24-09-09 18:26:19.355 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-09-09 18:26:19.733 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 369 ms. Found 3 MongoDB repository interfaces. 
24-09-09 18:26:19.772 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Multiple Spring Data modules found, entering strict repository configuration mode 
24-09-09 18:26:19.774 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data Redis repositories in DEFAULT mode. 
24-09-09 18:26:19.804 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.ConfigExpenseAppRepo; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:26:19.805 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.ExpenseRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:26:19.805 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport ----- Spring Data Redis - Could not safely identify store assignment for repository candidate interface co.in.HSBC.ExpenseTracker.repository.UserRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository 
24-09-09 18:26:19.806 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces. 
24-09-09 18:26:21.126 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ----- Tomcat initialized with port 8081 (http) 
24-09-09 18:26:21.145 [main] INFO  o.a.coyote.http11.Http11NioProtocol ----- Initializing ProtocolHandler ["http-nio-8081"] 
24-09-09 18:26:21.151 [main] INFO  o.a.catalina.core.StandardService ----- Starting service [Tomcat] 
24-09-09 18:26:21.152 [main] INFO  o.a.catalina.core.StandardEngine ----- Starting Servlet engine: [Apache Tomcat/10.1.25] 
24-09-09 18:26:21.289 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ----- Initializing Spring embedded WebApplicationContext 
