24-08-15 15:59:20.489 [main] INFO  c.i.H.journalapp.JournalApplication ----- Starting JournalApplication using Java 17.0.10 with PID 29468 (C:\Users\patil\IdeaProjects\journalapp\target\classes started by patil in C:\Users\patil\IdeaProjects\journalApp) 
24-08-15 15:59:20.496 [main] INFO  c.i.H.journalapp.JournalApplication ----- The following 1 profile is active: "develop" 
24-08-15 15:59:21.705 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
24-08-15 15:59:21.852 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate ----- Finished Spring Data repository scanning in 136 ms. Found 2 MongoDB repository interfaces. 
24-08-15 15:59:22.926 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer ----- Tomcat initialized with port 8081 (http) 
24-08-15 15:59:22.942 [main] INFO  o.a.coyote.http11.Http11NioProtocol ----- Initializing ProtocolHandler ["http-nio-8081"] 
24-08-15 15:59:22.945 [main] INFO  o.a.catalina.core.StandardService ----- Starting service [Tomcat] 
24-08-15 15:59:22.945 [main] INFO  o.a.catalina.core.StandardEngine ----- Starting Servlet engine: [Apache Tomcat/10.1.25] 
24-08-15 15:59:23.036 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] ----- Initializing Spring embedded WebApplicationContext 
24-08-15 15:59:23.037 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext ----- Root WebApplicationContext: initialization completed in 2460 ms 
24-08-15 15:59:23.654 [cluster-ClusterId{value='66bdd883903fcf1e658f7d08', description='JournalAppCluster'}-srv-journalappcluster.isnzo8y.mongodb.net] INFO  org.mongodb.driver.cluster ----- Adding discovered server ac-he86qpa-shard-00-00.isnzo8y.mongodb.net:27017 to client view of cluster 
